id,name,popularity,followers
328RmAvt8Yh1OTLTGVt7OJ,Rogers,2,66
21dVknSLCsK37cWozWDZZS,Matt Sassari,66,33358
5FrexZ2562mhqleZ3DXTkD,Skald,9,40
4UPP9Gao1GbL2s2ScgEvln,Catharsis,22,2776
6swnqiL41Bd4gO2fnAXXrf,Beyond The Black,50,125221
5EmEZjq8eHEC6qFnT63Lza,Tinlicker,66,141562
4ucW1LE5T7y7X4jlaKCeVo,Dub FX,42,194395
4yrO1N273PlTaixa4BNwBz,Avalon Emerson,33,37529
6GHPFG30HgJzP3aJHNzMVs,Boaz,40,11486
2qxkFauoxk34qhVdkgbqbz,LUVRE47,51,33348
52xuvlUvnxqH0xzxGPKXSu,Omnium Gatherum,36,77570
0t84CBqmvihsUVFme33TLd,GReeeN,61,314967
3BM0EaYmkKWuPmmHFUTQHv,Kreator,53,632576
2NKQiE93SxoavsQfWoReyN,John Cxnnor,14,547
3CJKkU0XuElRT1z8rEtIYg,Luciano,77,1527637
5HS4BCPnb2zYSwsmXunf8d,the GOLDEN DREGS,25,2601
1W2Fv4YUnjC8hx2qQd6fGh,Stand Atlantic,56,161595
4N4n2TRyL6exNfazJotLeH,Elijah Waters,35,11252
3IrUyDPQlQFcB5lMWhPml2,SSIO,58,547282
75ITbl3gPs7cNtqLQ2KLvh,Kellerkommando,24,6622
7lAi1Cv19DsukgGjbZQxFg,Annisokay,48,106495
52XSRQqTAfZ8ZrIqkQvQyA,Palms Trax,37,57684
1VGFnvgAwxMlV8D729gs5I,RORI,33,1818
5O2FUMAWxdTikjoCBAXrNI,Mademoiselle K,41,54947
2DqzOWVL2ly48IA9bpZdie,Dying Fetus,45,255814
2xiIXseIJcq3nG7C8fHeBj,Three Days Grace,75,5342373
12xme1fwd3iGEW7rF9b6tp,Wincent Weiss,60,1090998
0bOAJCeZ3yyYnk5AXayhNJ,Darwish,22,4334
6bwkMlweHsBCpI2a0C5nnN,D Double E,48,95572
1M0TQZfGjptr765i6Cgpuy,Skarface,11,97
02WQ3uYpJNgznKVcqWCc6I,Intergalactic Lovers,39,41329
775xcuXzPW9p8TODycEul0,Kamma,27,71
0e5Rda7VQAY786739xp0Jt,Rare Americans,60,210582
6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,73,1994539
6G43CiunIxMwb2tQ12vNP6,LANDMVRKS,53,126868
45fzhLbHZdBIgOGQT6M5zr,YokoO,30,24850
7sJ3ngSMvvXGdVLnODPqXa,Anetha,37,53701
6zsJjoCtL1WByG0VsuFWzR,BLOND:ISH,55,57838
4HBtdRzZxxJCKbKnq39bSF,Billy Bultheel,12,429
1YZhNFBxkEB5UKTgMDvot4,Lang Lang,64,213765
29S2cn8e5Hg0HuQxAuR2Sr,Animistic Beliefs,19,5215
04Zh21lNHZb2MCCcRcN2pc,Sorcha Richardson,41,27779
15uNxh8omvRvH71kcdIe2r,Renaud,58,662785
4CxpcExTmJ9cFuTjy4wFL9,Malice,10,3
5OLgWkV7opwcxN7zOhKb6g,Skinless,34,57879
2WyypmYjOdaXg0bXDP67j7,Blaiz Fayah,54,30002
0PlID3XYJSLcGsqG3vldeu,Ergreifend,5,0
4HXv1CWVOyIO8ZNvGOSyEy,Restraining Order,28,10760
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,63,928013
0IXo2RN5Z2J7T6W1oyrBWX,Import Export,31,1234
0wPaihMcmtN8pMHsgtynym,Planlos,28,15831
0JEcPoUdVr4MDQr7AdMzcJ,Club Makumba,14,2412
1epGwdbjU7JSGVBHlqptpx,Abbath,32,99039
08xR1XU2SWgC2K0yx6lEYm,Fran Vasilić,48,106767
6lyMYewq2SuTFIXgiv7OxH,Inhaler,56,237803
4UgQ3EFa8fEeaIEg54uV5b,Chelsea Grin,54,419845
4tAhhPPEWcszcMjhYROUvx,Lea,46,2028
4dkbTeaqv4OmF0f3cwwAa4,Manou Gallo,15,2143
4V8AR3bBMhrLaWirYLKBEe,Kalte Liebe,36,6024
3zgs5tOHpfntonpANwvnBY,Justin Sullivan,16,4053
131nrJ9WUBKnjl65yco5pr,Yazus,4,157
17MbhJOaaPHuWnRaWU9xkc,Decapitated,46,200250
1zO1FWFxxNUCqUuGATxZQZ,Gyakie,51,206873
57ekbx9PSS4ORs5wTZMSYp,Lacrimosa,47,204501
4c5Yh1V4t02fWzl5stEo5v,Konz,21,274
6GTk6OkWW7uFswiEGNgK0D,Phoam,3,147
5TgQ66WuWkoQ2xYxaSTnVP,Netsky,58,441058
4ItRDIouodpnW6nm4TYDk1,Suffocation,40,185737
2KvwC4Kmp2U8XnKr5Yr1hm,Vreid,26,28324
3oyKiCGdvt3HRj3pCOLCfM,Emily Scott Robinson,41,13334
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,70,3292783
79JQ1pUrBJFUIMJTEs1dVC,Seedy Jeezus,6,1741
0ircDsEvOEB5iDlGl2lT63,Sir Reg,41,11261
1Zxl7JC5lyI1JAYZyiZhAo,Astroqueen,24,13814
4fqjeVEalB6iB3BhKu5HwZ,Lucifer,33,44467
0iFq8SzyZaaQ2Fn6CLDxqW,Clueso,60,485560
3e2WDrAEGVOq0uTqDjBWyh,Grumpynators,18,1862
3ZZ9BwdWrBRhqNOvJ2ODNd,Ondubground,42,22561
0aO5KX4PsGlEqDM8rsH0ld,Nestor,39,11745
0VCf4hjBKWDodCDO7U8yJO,Jealous,8,1832
5wJK4kQAkVGjqM9x46KQOC,Solomun,60,815489
5NhSUk5Sygly90DDO78eLK,Mr. Irish Bastard,34,27815
6BD4lgmnh4vy6kkCaZRDWt,Bury Tomorrow,56,244402
6ssXMmc5EOUrauZxirM910,White Lies,57,471341
5SZDvUjUgJk2EFEPxaL3oP,Jungstötter,10,4926
4KivBMgSnZ7hCDfPm46fKc,Jan Delay,52,288817
4T8Z2MuOWpnhGzTTSOz0Rj,David Eugene Edwards,20,5334
3GxKJzJK4LpsYGXQrw77wz,Mimi Webb,68,261692
7DQxsJbGUe0mwvx4Qh9ePH,Burst,15,5447
1lMcg4Y7nW5hHgIVsN9Shn,Conducta,43,23765
6OqTV3I0KWokXnG0jotelU,GOEIEMIDDAG!,6,544
4RsIukNP5BsB8iuZwiXKs5,THE PROPHECY 23,7,1475
78TTCmh2koperK5NBn7DgR,102 Boyz,63,173616
7mqebOCOql0RKtn1bGUdOd,GIGEE,19,2102
6HabM2PUM519iIxervGWSb,Prospa,46,32752
1pqFGmVbINWL4fnry4fBlQ,Egerländer6,6,198
2UYjuQZUca5aE8Xdh8Hnlh,Zeal,23,10
