name,date,location,website,latitude,longitude
About You Pangea,10.08.2023 - 13.08.2023,"Pütnitz an der See, Germany",https://www.aboutyoupangea-festival.de,54.269266416956704,12.444582901433964
Africa Festival,26.05.2023 - 29.05.2023,"Würzburg, Germany",https://www.africafestival.org,49.79245,9.932966
Airbeat One,12.07.2023 - 16.07.2023,"Neustadt-Glewe, Germany",https://airbeat-one.de,53.393252,11.5753248
Alcatraz Metal,11.08.2023 - 13.08.2023,"Kortrijk, Belgium",https://www.alcatraz.be,50.8276429,3.2659884
Amphi Festival,29.07.2023 - 30.07.2023,"Köln, Germany",https://www.amphi-festival.de,50.938361,6.959974
Apen Air Festival,27.05.2023,"Apen, Germany",https://www.apenair.de,53.2214255,7.8097336
AStA Sommerfestival Paderborn ,01.06.2023,Germany,https://www.festivalsunited.com/festivals/asta-sommerfestival,51.1638175,10.4478313
Awakenings Festival Eindhoven ,28.01.2023,Netherlands,https://www.awakenings.com,52.2434979,5.6343227
Back To Future Open Air ,20.07.2023 - 23.07.2023,Germany,https://www.back-to-future.com/,51.1638175,10.4478313
Baden in Blut Open Air ,21.07.2023 - 22.07.2023,Germany,https://www.metal-maniacs.eu,51.1638175,10.4478313
Baltic Soul Weekender ,05.05.2023 - 07.05.2023,"Wangels, Germany",https://www.baltic-soul.de/,54.2733206,10.7663663
Bang Your Head,Verschoben13.07.2023 - 15.07.2023,"Balingen, Germany",https://www.bang-your-head.de,48.2737512,8.8557862
Biergarten-,27.07.2023 - 30.07.2023,Germany,https://biergarten-festival.de,51.1638175,10.4478313
Black Hole Fest ,28.04.2023 - 30.04.2023,Switzerland,https://eventfrog.de,46.7985624,8.2319736
Bospop Festival,07.07.2023 - 09.07.2023,"Weert, Netherlands",https://www.bospop.nl,51.235582949999994,5.705079711646853
Brakrock  Festival,04.08.2023 - 05.08.2023,Belgium,https://brakrock.com/,50.6402809,4.6667145
Burning Q Festival,28.07.2023 - 29.07.2023,Germany,https://www.burningq.de,51.1638175,10.4478313
Campusfestival Konstanz ,19.05.2023 - 20.05.2023,Germany,https://campusfestival-kn.de,51.1638175,10.4478313
Caprices Festival,07.04.2023 - 16.04.2023,Switzerland,https://capricesfestival.com,46.7985624,8.2319736
Citadel Music,26.05.2023 - 03.09.2023,"Berlin, Germany",https://citadel-music-festival.de,52.5170365,13.3888599
Concert At Sea ,22.06.2023 - 24.06.2023,"Scharrendijke, Netherlands",https://festivalfans.nl,51.72385731234804,3.8559384917610418
Copenhell ,14.06.2023 - 17.06.2023,"Kopenhagen, Denmark",https://www.copenhell.dk/,55.6867243,12.5700724
CORE Festival,27.05.2023 - 28.05.2023,Belgium,https://corefestival.com,50.6402809,4.6667145
Dark Easter Metal Meeting ,08.04.2023 - 09.04.2023,Germany,https://mrw-concerts.de,51.1638175,10.4478313
DASDING Festival,10.06.2023,Germany,https://www.dasding.de,51.1638175,10.4478313
Dauwpop  Festival,02.06.2023 - 03.06.2023,"Hellendoorn, Netherlands",https://www.dauwpop.nl,52.39046275,6.451511548705841
Deichbrand,20.07.2023 - 23.07.2023,"Cuxhaven, Germany",https://www.deichbrand.de,53.58724195,8.88407915140169
Desertfest Berlin ,19.05.2023 - 21.05.2023,Germany,https://www.desertfest.de,51.1638175,10.4478313
Die Festung Rockt ,26.05.2023 - 28.05.2023,Germany,http://die-festung-rockt.de,51.1638175,10.4478313
Dour Festival,12.07.2023 - 16.07.2023,"Dour, Belgium",https://www.dourfestival.eu,50.3978815,3.7806897
Down The Rabbit Hole,30.06.2023 - 02.07.2023,"Ewijk, Netherlands",https://downtherabbithole.nl,51.8691291,5.7391267
Dynamo Metal Fest ,19.08.2023 - 20.08.2023,Netherlands,https://www.dynamo-metalfest.nl/,52.2434979,5.6343227
Echelon Open Air & Indoor,18.08.2023 - 20.08.2023,"Bad Aibling, Germany",https://www.echelon-festival.de,47.8640504,12.0097685
ELBJAZZ Festival,09.06.2023 - 10.06.2023,"Hamburg, Germany",https://www.elbjazz.de,53.550341,10.000654
Electric Love,06.07.2023 - 08.07.2023,"Plainfeld, Austria",https://www.electriclove.at,47.8323325,13.1831669
Electrisize,11.08.2023 - 13.08.2023,"Erkelenz, Germany",https://electrisize.de,51.080992,6.3160684
